'sample interval','ECG0','ECG1'
'0.0078125 sec','mV','mV'
0,-0.005,0.020
1,-0.010,0.020
2,-0.005,0.010
3,0.000,0.000
4,0.000,0.000
5,0.000,0.000
6,0.005,0.000
7,0.015,0.000
8,0.020,0.010
9,0.045,0.015
10,0.070,0.010
11,0.080,0.000
12,0.085,-0.025
13,0.095,-0.045
14,0.105,-0.060
15,0.095,-0.045
16,0.045,-0.010
17,0.015,0.000
18,0.000,0.000
19,-0.015,0.000
20,-0.025,0.000
21,-0.025,0.000
22,-0.025,0.000
23,-0.020,0.000
24,-0.020,0.000
25,-0.030,0.025
26,-0.040,0.085
27,0.025,-0.045
28,0.215,-0.560
29,0.375,-1.095
30,0.350,-1.185
31,0.195,-0.770
32,0.025,-0.305
33,-0.035,-0.065
34,-0.055,0.025
35,-0.050,0.085
36,-0.045,0.115
37,-0.040,0.115
38,-0.055,0.135
39,-0.055,0.140
40,-0.050,0.140
41,-0.060,0.140
42,-0.055,0.140
43,-0.050,0.140
44,-0.050,0.140
45,-0.050,0.140
46,-0.060,0.140
47,-0.060,0.140
48,-0.055,0.140
49,-0.060,0.115
50,-0.065,0.115
51,-0.070,0.115
52,-0.060,0.115
53,-0.065,0.115
54,-0.070,0.105
55,-0.075,0.095
56,-0.075,0.095
57,-0.085,0.080
58,-0.070,0.055
59,-0.050,0.045
60,-0.055,0.045
61,-0.065,0.050
62,-0.060,0.050
63,-0.050,0.045
64,-0.045,0.045
65,-0.035,0.035
66,-0.020,0.025
67,-0.015,0.020
68,-0.005,0.015
69,0.000,0.015
70,0.005,0.005
71,0.005,0.000
72,0.005,0.005
73,0.005,0.010
74,0.005,0.015
75,0.000,0.005
76,0.000,0.005
77,0.000,0.020
78,0.000,0.020
79,0.000,0.020
80,0.000,0.020
81,0.000,0.020
82,-0.010,0.020
83,-0.005,0.020
84,-0.005,0.020
85,0.000,0.020
86,0.000,0.020
87,-0.005,0.015
88,0.000,0.005
89,0.005,0.000
90,0.010,0.000
91,0.015,0.000
92,0.025,0.000
93,0.045,0.015
94,0.060,0.015
95,0.075,0.000
96,0.095,-0.020
97,0.105,-0.040
98,0.095,-0.045
99,0.090,-0.035
100,0.060,-0.015
101,0.020,0.000
