'sample interval','ECG0','ECG1'
'0.0078125 sec','mV','mV'
0,-0.080,-0.330
1,-0.095,-0.350
2,-0.105,-0.340
3,-0.110,-0.370
4,-0.110,-0.385
5,-0.095,-0.420
6,-0.095,-0.420
7,-0.120,-0.390
8,-0.100,-0.365
9,0.035,-0.300
10,0.270,-0.250
11,0.400,-0.290
12,0.325,-0.485
13,0.150,-0.765
14,0.015,-0.910
15,-0.040,-0.805
16,-0.070,-0.670
17,-0.090,-0.570
18,-0.105,-0.540
19,-0.115,-0.530
20,-0.105,-0.530
21,-0.095,-0.530
22,-0.085,-0.535
23,-0.080,-0.540
24,-0.070,-0.545
25,-0.055,-0.560
26,-0.045,-0.560
27,-0.030,-0.570
28,-0.015,-0.560
29,-0.005,-0.560
30,0.000,-0.545
31,0.005,-0.555
32,0.025,-0.540
33,0.045,-0.535
34,0.070,-0.515
35,0.110,-0.495
36,0.165,-0.465
37,0.215,-0.440
38,0.255,-0.445
39,0.275,-0.450
40,0.270,-0.515
41,0.245,-0.555
42,0.215,-0.650
43,0.185,-0.700
44,0.145,-0.800
45,0.100,-0.840
46,0.065,-0.920
47,0.040,-0.930
48,0.025,-0.980
49,0.015,-0.980
50,0.015,-1.010
51,0.010,-0.995
52,0.010,-1.005
53,0.010,-0.980
54,0.010,-0.980
55,0.020,-0.960
56,0.025,-0.940
57,0.030,-0.920
58,0.040,-0.905
59,0.050,-0.895
60,0.055,-0.885
61,0.050,-0.880
62,0.040,-0.870
63,0.030,-0.865
64,0.010,-0.840
65,-0.005,-0.810
66,-0.020,-0.780
67,-0.040,-0.745
68,-0.060,-0.705
69,-0.075,-0.665
70,-0.080,-0.645
71,-0.085,-0.595
72,-0.085,-0.560
73,-0.090,-0.495
74,-0.110,-0.435
75,-0.115,-0.340
76,-0.025,-0.255
77,0.160,-0.140
78,0.345,-0.115
79,0.345,-0.200
80,0.180,-0.410
81,0.015,-0.645
82,-0.070,-0.615
83,-0.110,-0.430
84,-0.135,-0.310
85,-0.150,-0.230
86,-0.150,-0.180
87,-0.145,-0.160
88,-0.140,-0.115
89,-0.135,-0.115
90,-0.125,-0.090
91,-0.110,-0.090
92,-0.095,-0.060
93,-0.085,-0.055
94,-0.075,-0.010
95,-0.065,-0.010
96,-0.055,0.015
97,-0.040,0.025
98,-0.020,0.070
99,0.000,0.095
100,0.010,0.140
101,0.030,0.170
102,0.060,0.220
103,0.100,0.275
104,0.150,0.330
105,0.190,0.370
106,0.210,0.385
107,0.215,0.390
108,0.210,0.385
109,0.190,0.370
110,0.165,0.335
111,0.130,0.300
112,0.095,0.275
113,0.055,0.250
114,0.030,0.230
115,0.015,0.210
116,0.005,0.210
117,0.000,0.200
118,-0.010,0.210
119,-0.010,0.205
120,-0.010,0.225
121,-0.005,0.215
122,0.000,0.240
123,0.005,0.220
124,0.015,0.255
125,0.020,0.235
126,0.025,0.255
127,0.030,0.215
128,0.030,0.225
129,0.020,0.180
130,0.005,0.180
131,0.000,0.165
132,-0.020,0.180
133,-0.050,0.170
134,-0.080,0.170
135,-0.110,0.145
136,-0.125,0.120
137,-0.130,0.095
138,-0.135,0.085
139,-0.130,0.080
140,-0.125,0.060
141,-0.135,0.085
142,-0.145,0.090
143,-0.075,0.135
144,0.110,0.190
145,0.305,0.215
146,0.345,0.095
147,0.225,-0.110
148,0.060,-0.345
149,-0.045,-0.390
150,-0.090,-0.260
151,-0.115,-0.155
152,-0.130,-0.105
153,-0.120,-0.095
154,-0.100,-0.085
155,-0.085,-0.095
156,-0.080,-0.095
157,-0.080,-0.110
158,-0.075,-0.110
159,-0.065,-0.110
160,-0.050,-0.110
161,-0.040,-0.110
162,-0.030,-0.105
163,-0.025,-0.105
164,-0.020,-0.100
165,-0.005,-0.100
166,0.010,-0.100
167,0.030,-0.070
168,0.050,-0.065
169,0.085,-0.005
170,0.135,0.000
171,0.175,0.040
172,0.210,0.045
173,0.230,0.110
174,0.235,0.090
175,0.215,0.115
176,0.185,0.080
177,0.155,0.090
178,0.110,0.050
179,0.075,0.045
180,0.040,0.010
181,0.015,0.015
182,0.000,0.005
183,-0.010,0.025
